 year netcl        netcf   osw     closw   swcf    olw     clolw   lwcf    netg
  1950.0   313.29738530538145   -20.39134010899192   94.57953444594276   53.160875600281486   -41.41865883913383   239.10919095016519   260.1365096803071   21.027318730141925   6.637232481368819 
  1951.0   314.2729003832952   -20.32243402119161   93.99926351520855   53.02365880946013   -40.975604715525805   240.59607090781049   261.24924160214465   20.653170694334197   5.730623632605782 
  1952.0   314.49393980935236   -20.325127866340022   93.33272623159301   52.52267751176968   -40.81004871840488   241.48634140954945   261.9712622616143   20.48492085206485   5.506890412183844 
  1953.0   315.487244592284   -19.78823823065168   92.498217490503   52.48744233961578   -40.01077514932075   242.77726540152062   262.9998023201897   20.222536918669075   5.050475137507516 
  1954.0   315.8439602175118   -19.868072841585352   92.22741749857852   52.32985064316659   -39.89756686400125   243.48461555414585   263.51410957656174   20.029494022415896   4.613924990419328 
  1955.0   315.80512260293705   -19.744263437709098   92.07438475730928   52.26714774224258   -39.80723701826156   243.47500139563041   263.5379749761829   20.062973580552466   4.776571905659495 
  1956.0   315.887712745957   -19.560942781346515   91.52531514818911   51.984481519900875   -39.54083363430025   243.9233403804654   263.90323123341915   19.97989085295374   4.877302503191087 
  1957.0   316.1331605348173   -19.44842543547757   91.15854019202109   51.83841616663589   -39.32012401924989   244.4230457812994   264.2947443650717   19.87169858377231   4.744372080918406 
  1958.0   316.5435137877118   -19.216453603909258   90.9979031017911   51.9132835186316   -39.08461956728546   244.76206429926415   264.6302302626404   19.868165963376203   4.565990679295919 
  1959.0   316.67793319011963   -19.345372766277688   90.55858830654978   51.604998960272646   -38.953589345222866   245.4647175575261   265.07293413647125   19.60821657894519   4.302652139756527 
  1960.0   316.7288396261784   -19.060304574653706   90.33278897178177   51.62502966950063   -38.70775930831433   245.45635516097997   265.10380989464056   19.64745473366062   4.536813995075893 
  1961.0   317.07593568305924   -19.052508223313858   90.23148231262564   51.51855176883084   -38.71293054467259   245.89696152077502   265.5573838421337   19.660422321358734   4.1975142662880085 
  1962.0   317.2397453910883   -18.93719424878156   89.96296714101815   51.5602592548092   -38.40270788259007   246.21397252043462   265.67948615424314   19.465513633808513   4.149018350065774 
  1963.0   316.9554415054918   -19.01248575441737   90.04870315408603   51.415063857453625   -38.633639295505255   245.91922407323446   265.5403776143223   19.62115354108788   4.3580308516730515 
  1964.0   317.7292263526765   -18.75901113931791   89.55045893295235   51.310647997364974   -38.23981094290899   246.93777861507482   266.4185784186659   19.480799803591076   3.837720552983533 
  1965.0   317.63513565433607   -18.812423372210386   89.1483476250568   50.97552495993223   -38.172822656465314   247.29921138557594   266.65961066983084   19.36039928425493   3.8783990038988034 
  1966.0   317.75764876610987   -18.87141463351212   89.34814819155673   51.06607698711788   -38.282071200101996   247.28091522650527   266.69157179309514   19.41065656658987   3.6968945677169858 
  1967.0   317.7486224214478   -18.726484111879223   89.47906943095396   51.32946369638861   -38.14960573170944   246.99603713597443   266.41915875580463   19.423121619830223   3.8508515072610487 
  1968.0   317.6969529411595   -18.687758236366612   89.1345633786795   50.96725483797209   -38.16730854367516   247.25014774431716   266.72969805162575   19.479550307308543   3.9412469704816115 
  1969.0   318.0373277048517   -18.520324572438795   88.7572162958769   50.985814961962596   -37.771401329525574   247.80043596352897   267.05151272061573   19.251076757086768   3.768305735770222 
  1970.0   318.22394978730193   -18.550418205949686   88.69462985905345   50.93229434728451   -37.76233552013134   248.07973815365568   267.2916554678373   19.21191731418165   3.5515900493387558 
  1971.0   318.50729162166414   -18.471838521336572   88.54257461655006   50.974989728777125   -37.5675848956102   248.43655551485008   267.53230188912374   19.095746374273638   3.3468279750073706 
  1972.0   318.10764023720117   -18.672759102868536   88.67063260190822   50.88765807771194   -37.78297452494567   248.10976676320303   267.2199821852801   19.110215422077125   3.545558813370349 
  1973.0   318.0886521289568   -18.37686210914449   88.41208267207246   50.8859617699172   -37.52612089938487   248.05343160875896   267.2026903989993   19.149258790240385   3.8604438114728086 
  1974.0   318.5167071411713   -18.345496800587416   88.54335253146633   50.95637589159072   -37.58697664867795   248.31885151639483   267.56033136448536   19.241479848090528   3.4637540124489807 
  1975.0   318.7924903132397   -18.205065970251713   88.02415063716144   50.786908614992726   -37.23724202068318   248.97340560253707   268.00558165296854   19.03217605043147   3.328401771325962 
  1976.0   318.5476659543434   -18.390400592013115   88.13503931068381   50.76397101718587   -37.3710682989046   248.80302715959508   267.78369486648654   18.980667706891484   3.3878915756365093 
  1977.0   318.5942726979424   -18.147347383991576   88.13329181714829   50.92157436620214   -37.211717451437856   248.60832827852389   267.6726983459702   19.064370067446273   3.5843378018945944 
  1978.0   318.78844673101304   -18.19867015351713   87.94828767143404   50.709229525207846   -37.23905813940532   249.03882925892887   268.079217244817   19.040387985888188   3.338840968386139 
  1979.0   318.7410556817569   -18.451483806696462   88.07978503052838   50.65175353199427   -37.42803149511695   249.1127543196657   268.0893020080862   18.976547688420485   3.133418722040582 
  1980.0   318.50951005514014   -18.24747273275381   88.04692009045425   50.795516654158895   -37.25140343234364   248.71006258609683   267.7139932856867   19.003930699589837   3.568975274179205 
  1981.0   318.80232031766514   -18.038680969859133   87.89850116612125   50.8027553180914   -37.095745848642764   248.94250010176185   267.9995649805455   19.057064878783628   3.4849566570366655 
  1982.0   319.0928737403288   -18.079382111025307   87.46287588156653   50.4976202492112   -36.965255629202744   249.7093799849628   268.59525350314027   18.88587351817744   3.1537022362951146 
  1983.0   319.11933287170496   -18.297343139766927   87.6864365602623   50.525346613003656   -37.1610899416084   249.73023951378505   268.5939863156266   18.86374680184148   2.9092820184253267 
