 year   T_global   T_land   T_ocean   P_global   P_land   P_ocean
  1951.0   289.0231622539472   285.28107539377055   290.92230264323285   3.568549573878628e-05   2.8702243958810643e-05   3.922955444170924e-05 
  1952.0   289.3796808989782   285.5624583896779   291.3169532588082   3.592355606707355e-05   2.8180085465923514e-05   3.985343218202721e-05 
  1953.0   289.90086480228587   286.3382881035983   291.7089022827645   3.641858773095156e-05   2.834242569296312e-05   4.051730753352595e-05 
  1954.0   290.1679565572656   286.78716306565656   291.88373753928323   3.658420228194846e-05   2.8909034335711185e-05   4.047941422808746e-05 
  1955.0   290.25359583751526   286.826031263409   291.9931135352051   3.64523796945394e-05   2.929513078065825e-05   4.008474339864673e-05 
  1956.0   290.4234553614073   286.92892660945387   292.19695793960284   3.653108043528112e-05   2.825556062442191e-05   4.073097597549165e-05 
  1957.0   290.6695108860143   287.2721946776043   292.39367728504374   3.6812299162518095e-05   2.880964169845181e-05   4.0873714778859277e-05 
  1958.0   290.80708381256824   287.45277345420897   292.5094243828933   3.680888521052101e-05   2.8314933448205867e-05   4.111963679358162e-05 
  1959.0   291.00364870569314   287.7403425087528   292.6598039027222   3.6984265204149315e-05   2.8354292684288016e-05   4.136404845966687e-05 
  1960.0   291.0704595636558   287.7546777930501   292.75324655335106   3.704089900990383e-05   2.8704924810137045e-05   4.127147565826976e-05 
  1961.0   291.2909726540917   287.98945916600223   292.966518371036   3.743015292197755e-05   2.8523357671156704e-05   4.1950426029463115e-05 
  1962.0   291.3618862736264   288.04215368314044   293.0466783374648   3.7415294216965996e-05   2.8779914615198556e-05   4.1797821611788654e-05 
  1963.0   291.40771339446155   288.0291948285013   293.1223398326794   3.7251116861885606e-05   2.9207576101827047e-05   4.133328109298834e-05 
  1964.0   291.7351398839604   288.56898058050285   293.34199221977843   3.77732552037323e-05   2.8517669006980986e-05   4.2470542634397524e-05 
  1965.0   291.9013239215483   288.78349574400187   293.4836478066096   3.7939208245686324e-05   2.937732812469849e-05   4.2284434039088244e-05 
