 year   T_global   T_land   T_ocean   P_global   P_land   P_ocean
  1851.0   288.66486698944294   284.9060695144734   290.5724881555435   3.564806479487687e-05   2.8913381314671677e-05   3.9065973006047796e-05 
  1852.0   289.0114090851777   285.1764766018802   290.9576694049796   3.5849869614907965e-05   2.8564096217654598e-05   3.954746056961224e-05 
  1853.0   289.5518343880481   285.87337353122354   291.41868404831297   3.643502673344853e-05   2.7961663291859563e-05   4.073532957149076e-05 
  1854.0   290.0185176068142   286.49999537430347   291.8041970771313   3.692322751451713e-05   2.7989393305676255e-05   4.1457223119416226e-05 
  1855.0   290.2129255539259   286.7912419498958   291.9494586100997   3.7250242471791564e-05   2.9913739181948682e-05   4.097357927141092e-05 
  1856.0   290.208841133519   286.685876012597   291.9967754068759   3.707899631274108e-05   2.9539196578076424e-05   4.090550775896418e-05 
  1857.0   290.39430975819727   286.886685711781   292.17445830789296   3.713455445449025e-05   2.836427318054022e-05   4.158554557658514e-05 
  1858.0   290.78350193719103   287.49900108006   292.45041360158956   3.753229223304433e-05   2.733869516277693e-05   4.2705628029780726e-05 
  1859.0   291.01583393839246   287.7805684786257   292.65775822670633   3.790419463443779e-05   2.9357287645488205e-05   4.224182143805929e-05 
  1860.0   291.05717867287393   287.8478752959694   292.6859269869263   3.781395140804591e-05   3.0535415650999586e-05   4.150786919979222e-05 
  1861.0   291.0427902097561   287.80427203506923   292.68636527810537   3.77559868905842e-05   3.0012152000112868e-05   4.168604788541621e-05 
  1862.0   291.28359856686814   288.08977632124856   292.9044900772723   3.7824711865690787e-05   2.816260797593785e-05   4.272831042663858e-05 
  1863.0   291.51664985046193   288.34707029847397   293.1252379910242   3.8313458045095726e-05   2.898172974082779e-05   4.304938823235997e-05 
  1864.0   291.62654673687894   288.60390495738244   293.16056272856366   3.842682514750631e-05   2.9695468433608756e-05   4.2858061729716637e-05 
  1865.0   291.5760347136464   288.4106753167414   293.1824810901967   3.832220972206705e-05   2.891613119968591e-05   4.309587326706639e-05 
  1866.0   291.7032957912634   288.6048871345394   293.2757641070361   3.8465994724754354e-05   2.9502458535425344e-05   4.3015064333249435e-05 
  1867.0   291.73374057984694   288.5146042370655   293.3674792063484   3.86161949316416e-05   3.0256542859743682e-05   4.2858788298212305e-05 
  1868.0   291.775587562521   288.7305476943605   293.3209707715938   3.843233699684147e-05   2.9619215105410408e-05   4.290507009072915e-05 
  1869.0   291.8712851389635   288.7696417185628   293.44539512436535   3.866470173317529e-05   2.9408935384501467e-05   4.3362080592448414e-05 
  1870.0   291.90447974399024   288.7561008659357   293.5023083651583   3.868240238693439e-05   2.9549350806371553e-05   4.331750247471196e-05 
  1871.0   292.02753979659883   288.9908796828836   293.56867021018223   3.885691261877227e-05   2.9403910633530313e-05   4.365439021375334e-05 
  1872.0   292.00232201811673   288.9581602368036   293.547259590768   3.879781567478192e-05   2.9844659830159702e-05   4.334161717149233e-05 
  1873.0   292.0743397443111   289.06788158748003   293.60014241209467   3.87907039303399e-05   2.942058003290288e-05   4.3546120202369826e-05 
  1874.0   292.17920518653744   289.107543984755   293.7380989451478   3.902932718159616e-05   2.8903277716561876e-05   4.416838200354738e-05 
  1875.0   292.3696295953796   289.4955459520753   293.828251090052   3.917514498970283e-05   3.104664499756343e-05   4.330042674188839e-05 
  1876.0   292.18789045387507   289.0847690624668   293.7627505219286   3.887002648771943e-05   3.023747131161836e-05   4.325112046288616e-05 
