 year netcl        netcf   osw     closw   swcf    olw     clolw   lwcf    netg
  1851.0   313.61561784452505   -20.8168886041902   94.75502435995817   52.990747475657784   -41.7642768864796   239.67748213024868   260.62487041253803   20.947388282289392   5.893402434122675 
  1852.0   314.105172997411   -20.16777917025983   94.01173647256182   52.96633352747629   -41.04540294874019   240.26121573784536   261.13883951632573   20.877623778480356   6.052956615767734 
  1853.0   314.79819666815575   -20.12584398459624   93.14063537061475   52.46579219270482   -40.674843174293954   241.78340520526373   262.33240439496143   20.548999189697714   5.401868383066907 
  1854.0   315.39409083301837   -20.006291736685206   92.53535414864227   52.10998766384388   -40.425366485452656   242.86502847647776   263.2841032252452   20.419074748767446   4.9255261047527545 
  1855.0   315.6162100559253   -20.249803855286174   92.49659598975707   51.95512544559531   -40.541470550024606   243.3694179322832   263.6610846270216   20.29166669473843   4.459894931954564 
  1856.0   315.4884915885312   -20.05559824574928   92.32141433773238   51.975986042670975   -40.34542829833085   243.22267543755922   263.51250549014077   20.289830052581564   4.7818189561177995 
  1857.0   315.79562787477175   -19.728575199787883   92.2216815019951   51.980399107593904   -40.24128238315096   243.30252160780228   263.81522879116534   20.512707183363084   4.801705695432591 
  1858.0   316.4742637191368   -19.918767384461646   91.88825300324211   51.681864564762115   -40.206388444943734   244.5047781393424   264.79239919982444   20.287621060482092   3.9328777058476625 
  1859.0   316.494524865514   -19.81008437825343   91.14424186571529   51.315333324530734   -39.828908543194416   245.16036734416898   265.17919150911   20.01882416494099   4.021299582129575 
  1860.0   316.561616188296   -19.675940304918   91.09359382339636   51.401406253881525   -39.69218757591226   245.14396270020046   265.1602099711947   20.016247270994246   4.088352198750811 
  1861.0   316.1318716509   -19.703287472086746   91.27261257322148   51.25955434675769   -40.0130582229758   244.562546534706   264.87231728559505   20.309770750889054   4.490749679272046 
  1862.0   316.7987923800349   -19.274803255386338   90.71481789813987   51.22240492999517   -39.49241296389315   245.35877770298598   265.5763874114928   20.217609708506814   4.252313165102689 
  1863.0   317.2209970753803   -19.47638753292868   90.47166560273143   51.02823200992151   -39.44343359025992   246.22571903590253   266.1927650932338   19.96704605733125   3.6285241208626813 
  1864.0   317.2793560361601   -19.582661825490554   90.58876685677231   51.08855865610221   -39.50020819795726   246.27325101918998   266.1907973916567   19.917546372466706   3.463890907274401 
  1865.0   317.22859343375933   -19.366878472911566   90.43512053363149   51.09549677889762   -39.339623756713785   246.16035128775948   266.13309657156174   19.972745283802222   3.7304369130784742 
  1866.0   317.4196265729441   -19.445678054898064   90.29617412903549   50.988629299296996   -39.30754483248267   246.56913054693152   266.43099732451617   19.86186677758461   3.460604195256076 
  1867.0   317.2606642297898   -19.372549153099914   89.96881435523423   50.822028411015836   -39.1467859376107   246.66439907663286   266.43863586114367   19.77423678451078   3.692695399896712 
  1868.0   317.28977141082066   -19.38081152364831   90.09324887038142   50.869790913792855   -39.22345795577582   246.57733391028566   266.4199803424132   19.842646432127516   3.6553259556218536 
  1869.0   317.75081962488866   -19.238320237330807   90.05270318802991   50.95423652721433   -39.09846666354319   246.93643665237826   266.7965830785907   19.86014642621238   3.336768952276614 
  1870.0   317.5790259147751   -19.189771222598335   89.81194782407331   50.77165210687019   -39.04029572103098   246.95684927969788   266.80737377813057   19.850524498432648   3.557111675967607 
  1871.0   317.8377609521196   -19.26826377411962   89.71978046942084   50.73081531583988   -38.98896516581717   247.3862442119267   267.1069456036243   19.720701391697546   3.219884019844798 
  1872.0   317.71701674365545   -19.174428550675145   89.70411853492908   50.77820304476979   -38.92591547665639   247.1873267377774   266.9388136637586   19.751486925981258   3.4344634425947853 
  1873.0   317.8204731409374   -19.26670057445415   89.78867163269479   50.73427025202784   -39.05440137923309   247.29850213805855   267.08620294283753   19.787700804778947   3.2387348851553304 
  1874.0   317.95934517744104   -19.311126521618807   89.67307321247601   50.64328995716011   -39.02978325319631   247.5973984271912   267.3160551587686   19.718656731577507   3.0554371848074586 
  1875.0   317.8806053601571   -19.119708870011454   89.13259460743289   50.41263613751448   -38.71995847272095   247.86771960826985   267.4679692109794   19.60024960270949   3.3255946329662285 
  1876.0   317.78969037308724   -19.08934121448065   89.32918596627756   50.61144499666972   -38.717740965399194   247.5498456003513   267.1782453512698   19.628399750918543   3.4468771274171734 
  1877.0   317.91813224018057   -18.892975243821983   89.10196434500962   50.46944210131582   -38.63252224154837   247.709143064128   267.4486900618544   19.7395469977264   3.514801383900836 
  1878.0   318.3226193865164   -18.88688175130973   88.8808432357003   50.41478447987813   -38.46605876618694   248.32865788721156   267.9078349020888   19.579177014877214   3.1164076121240543 
  1879.0   318.1937092287109   -19.294313249822654   89.20113808807764   50.43635185283698   -38.764786232193735   248.28688438708159   267.7573573694527   19.470472982371078   2.8378863713689007 
  1880.0   317.43200226525823   -19.299206125968606   89.34581278323681   50.31511344728689   -39.03069933149774   247.38539558635256   267.1168887918817   19.731493205529123   3.5947004526750552 
  1881.0   317.9369966327885   -18.95607476626007   88.99875056724406   50.43136300585295   -38.56738757535952   247.89432078609568   267.5056335951951   19.61131280909945   3.432837430197097 
  1882.0   318.3477799492875   -18.96901421598561   89.04947661364181   50.39638223284706   -38.65309437929692   248.26731755210622   267.95139771541756   19.684080163311304   3.009114643609417 
  1883.0   318.69919787089987   -19.004074186689902   88.73418268549045   50.28983306251272   -38.44434963901205   248.9690892692255   268.40936472154766   19.44027545232215   2.6226368074055504 
  1884.0   318.3222403309535   -19.243205868302756   89.01983771864002   50.394781467743414   -38.62505624017569   248.545608506956   267.9274588788289   19.381850371872925   2.760462488424214 
