 year   T_global   T_land   T_ocean   P_global   P_land   P_ocean
  1950.0   286.6879100604807   281.776144040011   289.1806724096034   3.587148594235831e-05   2.8051381669984205e-05   3.984025428660512e-05 
  1851.0   286.6163448422257   281.63677837988774   289.14351648284133   3.5741910278199127e-05   2.8316972622606347e-05   3.951012825831265e-05 
  1852.0   286.7181300158367   281.82843361674077   289.19969184746924   3.5702941876009245e-05   2.742595650054402e-05   3.990358120251881e-05 
  1853.0   286.5717763219491   281.48853282409846   289.15156492548954   3.578286983466948e-05   2.8168489465170196e-05   3.964723157704159e-05 
  1854.0   286.5830591688029   281.5560337657191   289.13431661890684   3.559529632063036e-05   2.765872668737885e-05   3.962317180991671e-05 
  1855.0   286.7307836324184   281.66211107908424   289.30317735971056   3.5921487366105274e-05   2.7271950922241046e-05   4.0311199476733675e-05 
  1856.0   286.84711433300424   281.9599001610301   289.32741641360514   3.6062066124348586e-05   2.75005143526314e-05   4.040712527774856e-05 
  1857.0   286.65059463077654   281.65858452148245   289.18408152633066   3.576293317906014e-05   2.7412886998530704e-05   4.000065147539475e-05 
  1858.0   286.7624664214939   281.7419731850432   289.3104087423809   3.604077898975511e-05   2.724773093996301e-05   4.05033244410655e-05 
  1859.0   286.6968227205629   281.66808173505933   289.24895084309816   3.600754434092977e-05   2.7843714551680315e-05   4.0150756260731434e-05 
  1860.0   286.6442872398078   281.75416082208886   289.12606730948914   3.5860377815529675e-05   2.792533289626504e-05   3.988747949971133e-05 
  1861.0   286.58296645146606   281.6161490766025   289.1036678235246   3.578509080212874e-05   2.847404699949481e-05   3.949550669898563e-05 
  1862.0   286.5399325046519   281.50198046812096   289.09673531264673   3.581312862142711e-05   2.76808948153075e-05   3.994030531544617e-05 
  1863.0   286.54927250246334   281.55129439001377   289.0857882095494   3.58777790612691e-05   2.8335852787093575e-05   3.97053697440854e-05 
  1864.0   286.6035269955139   281.7342392925724   289.07473124310104   3.580188876476827e-05   2.7820063179654323e-05   3.985273202825359e-05 
  1865.0   286.48900831238575   281.5004334421231   289.020751795391   3.5573162327047366e-05   2.736299392861254e-05   3.9739891478697334e-05 
  1866.0   286.50122964660864   281.5588685694028   289.009519242995   3.5701951367292545e-05   2.7155778007528285e-05   4.003920584796466e-05 
  1867.0   286.5655875204655   281.5509970487154   289.11053413888214   3.5762346759730976e-05   2.7211464649737124e-05   4.010199097053984e-05 
  1868.0   286.47277234399786   281.4683741612408   289.0125462904779   3.564629978518949e-05   2.6860748598648497e-05   4.010504051567828e-05 
  1869.0   286.4102106294523   281.3887686816011   288.9586344293124   3.567623348241989e-05   2.817713693025351e-05   3.9482087722986534e-05 
  1870.0   286.4760842869895   281.52345428797497   288.9895854471075   3.5704496912353234e-05   2.7448190045450926e-05   3.9894641722762726e-05 
  1871.0   286.4921398386258   281.42201670275284   289.0652697486925   3.575896107861388e-05   2.7250309520458e-05   4.0077172931047834e-05 
  1872.0   286.52489108346055   281.51833504055224   289.0657601620209   3.573451421032201e-05   2.662039550418472e-05   4.036000570592887e-05 
  1873.0   286.52277525823854   281.5111415557348   289.06622129152504   3.580373346616004e-05   2.735176708651997e-05   4.009317711624709e-05 
  1874.0   286.4444510626362   281.4026923406312   289.0031857953571   3.5722796041875695e-05   2.8062547354230256e-05   3.9610436339459046e-05 
  1875.0   286.32465440733966   281.30765350041395   288.8708243417745   3.556589413240042e-05   2.8074348073921647e-05   3.936791643425025e-05 
  1876.0   286.3550990604025   281.33454140345503   288.90307407523056   3.5460309164409876e-05   2.790628433227229e-05   3.929403996661313e-05 
  1877.0   286.51883337930593   281.5056301765876   289.0630759470825   3.557068930257615e-05   2.6484760262085626e-05   4.018187430702164e-05 
  1878.0   286.63536075438276   281.6102316527932   289.1856558156131   3.593921859266364e-05   2.7937301173555293e-05   4.000025862999717e-05 
  1879.0   286.53426766529867   281.46137792380495   289.10880165086456   3.575331043126421e-05   2.812043133270102e-05   3.962706043340377e-05 
  1880.0   286.6761049434428   281.76405953331346   289.16900908515515   3.58767439782656e-05   2.715221624955279e-05   4.0304514793360744e-05 
  1881.0   286.60048096783476   281.6108376086425   289.1327667179111   3.583847607093957e-05   2.7699469333579244e-05   3.9969090084228254e-05 
  1882.0   286.4640785581643   281.40848256055835   289.0298358240209   3.5588568066803557e-05   2.791305106323508e-05   3.948395716245849e-05 
  1883.0   286.4596796789779   281.36569909765825   289.04491744220934   3.5626775841708546e-05   2.7650638710093578e-05   3.967473216745135e-05 
  1884.0   286.45317515683246   281.3809494967021   289.0273721155503   3.573219240928561e-05   2.7916328594314913e-05   3.9698808685922885e-05 
  1885.0   286.50086591093293   281.50323278307195   289.0372065354541   3.573201125009407e-05   2.802844041116457e-05   3.964163790190397e-05 
  1886.0   286.4544056355804   281.50855029738915   288.96446859865114   3.547634573478376e-05   2.7480651708393402e-05   3.9534227348245615e-05 
  1887.0   286.602869925858   281.4618345128979   289.2119884098259   3.556842585171129e-05   2.6212731866678764e-05   4.03165188224697e-05 
  1888.0   286.7124184542589   281.70055204263963   289.2559825893686   3.580579896275308e-05   2.7079352938473134e-05   4.0234543328897744e-05 
  1889.0   286.6238502243009   281.6132828494257   289.1667550873947   3.5800701409851895e-05   2.7583165209049478e-05   3.9971169782845295e-05 
  1890.0   286.4863367523606   281.41128553403524   289.0619677055022   3.546025808933694e-05   2.716222184518103e-05   3.9671580907826745e-05 
  1891.0   286.57210673544006   281.53999178308567   289.12594717438003   3.570887217608951e-05   2.6897738657721452e-05   4.018059615401224e-05 
  1892.0   286.6326995603068   281.60659617148195   289.18348908046045   3.5928906255735046e-05   2.7537664994933377e-05   4.018753139996179e-05 
  1893.0   286.416922016328   281.3263890734228   289.00041007421993   3.573846258329637e-05   2.856826319210524e-05   3.9377398762987216e-05 
  1894.0   286.4648737518613   281.3609529346905   289.05515626795113   3.560791984054682e-05   2.8145743101278325e-05   3.939503696718235e-05 
  1895.0   286.5561284690024   281.4797716638055   289.13242201840427   3.5666007756166966e-05   2.7403645627054597e-05   3.985922566280873e-05 
  1896.0   286.65795952306877   281.59488283271276   289.2275133030824   3.5783778201978524e-05   2.7400138537844908e-05   4.003854547229834e-05 
  1897.0   286.79062044685486   281.8265310782839   289.30993733289625   3.588428175419775e-05   2.7051200473064302e-05   4.036714440534737e-05 
